Comunidad Autónoma,Municipio,Tipo ICIO (%),latitude,longitude,population
Andalucía,Alcalá de Guadaíra,4.0,37.3397709,-5.8408396,2024.0
Andalucía,Algeciras,4.0,36.1311725,-5.4473991,2024.0
Andalucía,Almería,3.5,36.8414197,-2.4628135,2024.0
Andalucía,Benalmádena,4.0,36.594519,-4.572284,2024.0
Andalucía,Chiclana de la Frontera,3.32,36.4191096,-6.1460683,2024.0
Andalucía,Cádiz,4.0,36.5297438,-6.2928976,2024.0
Andalucía,Córdoba,3.44,37.8845813,-4.7760138,204721.0
Andalucía,Dos Hermanas,4.0,37.283689,-5.9226718,2024.0
Andalucía,El Ejido,3.6,36.7743863,-2.8124886,2024.0
Andalucía,El Puerto de Santa María,3.98,36.6004006,-6.2252702,2024.0
Andalucía,Estepona,3.5,36.4268068,-5.1468484,2024.0
Andalucía,Fuengirola,3.0,36.5388398,-4.6233974,2024.0
Andalucía,Granada,4.0,37.1734995,-3.5995337,291.0
Andalucía,Huelva,4.0,37.2575874,-6.9484945,2024.0
Andalucía,Jaén,3.0,37.9553976,-3.4937431,107215.0
Andalucía,Jerez de la Frontera,3.62,36.6816936,-6.1377402,2024.0
Andalucía,La Línea de la Concepción,4.0,36.1677899,-5.3482396,2024.0
Andalucía,Linares,3.96,38.0931247,-3.6357207,73602.0
Andalucía,Marbella,4.0,36.508976,-4.88562,2024.0
Andalucía,Mijas,3.2,36.5957471,-4.6375188,2024.0
Andalucía,Motril,3.6,36.7450888,-3.5207655,2024.0
Andalucía,Málaga,3.8,36.7213028,-4.4216366,2024.0
Andalucía,Roquetas de Mar,3.0,36.7630203,-2.6115886,2024.0
Andalucía,San Fernando,4.0,36.4646672,-6.1983492,23946.0
Andalucía,Sanlúcar de Barrameda,4.0,36.7761393,-6.3534794,2024.0
Andalucía,Sevilla,3.25,37.3886303,-5.9953403,2024.0
Andalucía,Torremolinos,3.2,36.6242841,-4.4995448,2024.0
Andalucía,Utrera,4.0,37.1824646,-5.7817506,2024.0
Andalucía,Vélez-Málaga,3.5,36.7818354,-4.0988099,2024.0
Aragón,Huesca,3.9,42.1360615,-0.0298027,2024.0
Aragón,Teruel,4.0,40.6005259,-0.9229282,2024.0
Aragón,Zaragoza,4.0,41.6521342,-0.8809428,2024.0
Asturias,Avilés,4.0,43.5554436,-5.9222466,70796.0
Asturias,Gijón,4.0,43.5449422,-5.66275,2024.0
Asturias,Oviedo,4.0,43.3618625,-5.8483581,40059.0
Asturias,Siero,3.65,43.394024,-5.6349173,2024.0
Baleares,Calvià,4.0,39.5650931,2.5046323,2024.0
Baleares,Eivissa,3.8,38.9743901,1.4197463,
Baleares,Palma,4.0,39.5695818,2.6500745,431521.0
Canarias,Arona,2.3,28.0996248,-16.6809103,82982.0
Canarias,Arrecife,3.2,28.9639681,-13.5499014,68169.0
Canarias,Granadilla de Abona,3.8,28.1221408,-16.5766728,2024.0
Canarias,Las Palmas de G.C.,4.0,28.1001651,-15.4429827,2024.0
Canarias,San Bartolomé de Tirajana,3.2,27.9252512,-15.5729983,52936.0
Canarias,San Cristóbal de La Laguna,3.75,28.4857715,-16.3159422,31604.0
Canarias,Santa Cruz de Tenerife,1.8,28.467178,-16.2507843,147522.0
Canarias,Santa Lucía de Tirajana,2.34,27.9115471,-15.5405202,2024.0
Canarias,Telde,4.0,27.9984538,-15.4166761,102472.0
Cantabria,Santander,4.0,43.4618932,-3.8100255,
Cantabria,Torrelavega,4.0,43.3487303,-4.0515082,51466.0
Castilla y León,Burgos,3.3,42.343926,-3.696977,2024.0
Castilla y León,León,4.0,42.5989995,-5.5682413,1579803.0
Castilla y León,Palencia,2.1,42.4096322,-4.6161004,2024.0
Castilla y León,Ponferrada,2.0,42.5454124,-6.5938719,38961.0
Castilla y León,Salamanca,3.75,40.9651572,-5.6640182,5929.0
Castilla y León,Segovia,4.0,40.9481192,-4.1172101,51525.0
Castilla y León,Soria,3.9,41.6012505,-2.721938,2024.0
Castilla y León,Valladolid,4.0,41.6521807,-4.728605,48973.0
Castilla y León,Zamora,3.2,41.6857693,-5.942315,17584.0
Castilla y León,Ávila,2.5,40.656478,-4.7002172,58111.0
Castilla-La Mancha,Albacete,3.84,38.9950921,-1.8559154,2024.0
Castilla-La Mancha,Ciudad Real,4.0,38.9597348,-3.8828744,2024.0
